,base_market,quote_market,hedge_ratio,half_life
0,SNX-USD,XTZ-USD,2.9610698505118673,3.0
1,SNX-USD,ICP-USD,0.589956091147734,3.0
2,SNX-USD,LINK-USD,0.33773406783280546,3.0
3,SNX-USD,ATOM-USD,0.2810025325307687,3.0
4,SNX-USD,BCH-USD,0.010555831171572171,4.0
5,SNX-USD,ENJ-USD,8.521961753475287,3.0
6,SNX-USD,RUNE-USD,1.3304978120157291,4.0
7,SNX-USD,FIL-USD,0.6069288906290679,3.0
8,SNX-USD,ZRX-USD,11.86913320831975,3.0
9,SNX-USD,TRX-USD,27.425075486523927,4.0
10,SNX-USD,YFI-USD,0.0003688966356263227,4.0
11,SNX-USD,COMP-USD,0.04853558533534131,3.0
12,SNX-USD,XLM-USD,17.030235788426587,3.0
13,SNX-USD,EOS-USD,3.4977957604821364,4.0
14,SNX-USD,NEAR-USD,1.7648801258669677,4.0
15,SNX-USD,ALGO-USD,21.456543534558264,3.0
16,SNX-USD,SUSHI-USD,3.4629707518460253,4.0
17,SNX-USD,ADA-USD,7.864773928711152,3.0
18,SNX-USD,UMA-USD,1.506800778943961,3.0
19,SNX-USD,DOT-USD,0.46199323139483395,4.0
20,SNX-USD,CRV-USD,4.32211588738121,3.0
21,SNX-USD,SOL-USD,0.09822510650884674,3.0
22,SNX-USD,LTC-USD,0.03126435827115815,3.0
23,SNX-USD,AAVE-USD,0.03637293851379001,4.0
24,SNX-USD,UNI-USD,0.43319137677242503,3.0
25,SNX-USD,MATIC-USD,3.6682963489719382,3.0
26,SNX-USD,AVAX-USD,0.19861396054760672,3.0
27,XTZ-USD,ZEC-USD,0.027841566116694895,7.0
28,XTZ-USD,ENJ-USD,2.8766426824600817,10.0
29,XTZ-USD,FIL-USD,0.20471996211048893,21.0
30,XTZ-USD,XMR-USD,0.004843288872254223,18.0
31,XTZ-USD,UMA-USD,0.5047949544964208,4.0
32,XTZ-USD,BTC-USD,2.6469735164591008e-05,17.0
33,XTZ-USD,DOT-USD,0.156016796320788,10.0
34,XTZ-USD,MATIC-USD,1.2380980822257328,17.0
35,XTZ-USD,1INCH-USD,2.8178054506788475,9.0
36,XTZ-USD,ETH-USD,0.00041820363706483895,10.0
37,ICP-USD,ENJ-USD,14.4440738269492,10.0
38,ICP-USD,ZRX-USD,20.10726109990839,12.0
39,ICP-USD,COMP-USD,0.08224608415785553,10.0
40,ICP-USD,DOT-USD,0.7833800669221589,8.0
41,ETC-USD,YFI-USD,0.0028092478419949754,12.0
42,ETC-USD,NEAR-USD,13.441965309244173,7.0
43,ETC-USD,UMA-USD,11.375430678879436,4.0
44,ZEC-USD,ENJ-USD,103.31047061352099,7.0
45,ZEC-USD,COMP-USD,0.5882626338046014,10.0
46,ZEC-USD,EOS-USD,42.43153723293155,7.0
47,ZEC-USD,XMR-USD,0.17393176324114323,12.0
48,ZEC-USD,UMA-USD,18.127702742384926,4.0
49,ZEC-USD,BTC-USD,0.0009506752455274977,5.0
50,ZEC-USD,1INCH-USD,101.20165778555783,6.0
51,ZEC-USD,ETH-USD,0.01501874258185026,6.0
52,ENJ-USD,FIL-USD,0.07116446086829026,13.0
53,ENJ-USD,ZRX-USD,1.392091583734333,8.0
54,ENJ-USD,COMP-USD,0.005694227524309677,7.0
55,ENJ-USD,XLM-USD,1.9976655982620142,20.0
56,ENJ-USD,ALGO-USD,2.5179630097665164,7.0
57,ENJ-USD,XMR-USD,0.0016833379758863045,14.0
58,ENJ-USD,ADA-USD,0.9229606027211182,11.0
59,ENJ-USD,UMA-USD,0.17551044785300557,4.0
60,ENJ-USD,BTC-USD,9.200716178985335e-06,8.0
61,ENJ-USD,DOT-USD,0.054225114762837666,11.0
62,ENJ-USD,SOL-USD,0.01151555083412665,18.0
63,ENJ-USD,LTC-USD,0.0036688920709018503,16.0
64,ENJ-USD,AAVE-USD,0.004270021674849551,10.0
65,ENJ-USD,MATIC-USD,0.4303596000535118,12.0
66,ENJ-USD,1INCH-USD,0.9794759585039935,6.0
67,ENJ-USD,ETH-USD,0.00014535885938761386,6.0
68,FIL-USD,CRV-USD,7.123427338005057,6.0
69,FIL-USD,SOL-USD,0.16177548284876977,5.0
70,FIL-USD,UNI-USD,0.7135154421760539,9.0
71,FIL-USD,AVAX-USD,0.32724847301502447,6.0
72,ZRX-USD,XLM-USD,1.4346898548254652,17.0
73,ZRX-USD,XMR-USD,0.0012088086411591247,17.0
74,ZRX-USD,ADA-USD,0.6627551603778028,18.0
75,ZRX-USD,SOL-USD,0.008271381330538058,12.0
76,ZRX-USD,MATIC-USD,0.30907062995761275,15.0
77,ZRX-USD,ETH-USD,0.00010438220214738339,14.0
78,YFI-USD,XLM-USD,46121.2634311444,23.0
79,YFI-USD,NEAR-USD,4783.975986195881,10.0
80,YFI-USD,XMR-USD,38.855692317857375,23.0
81,YFI-USD,UMA-USD,4046.6890573062583,4.0
82,YFI-USD,DOT-USD,1251.706237099842,17.0
83,YFI-USD,AAVE-USD,98.56686752727259,15.0
84,COMP-USD,XLM-USD,350.7121524747095,17.0
85,COMP-USD,ALGO-USD,442.0752158741993,9.0
86,COMP-USD,XMR-USD,0.2955026384117698,13.0
87,COMP-USD,SUSHI-USD,71.37933193552752,16.0
88,COMP-USD,ADA-USD,162.01642369282104,14.0
89,COMP-USD,UMA-USD,30.825829609919516,4.0
90,COMP-USD,BTC-USD,0.0016153197007240552,8.0
91,COMP-USD,DOT-USD,9.51858963855452,12.0
92,COMP-USD,SOL-USD,2.0217802940405383,17.0
93,COMP-USD,LTC-USD,0.6442807563654893,15.0
94,COMP-USD,UNI-USD,8.916638623958525,23.0
95,COMP-USD,1INCH-USD,171.97369948961014,9.0
96,COMP-USD,ETH-USD,0.025518731860246488,9.0
97,EOS-USD,UMA-USD,0.4272890758929464,4.0
98,EOS-USD,BTC-USD,2.240179218547548e-05,7.0
99,EOS-USD,DOGE-USD,9.29797654330048,9.0
100,EOS-USD,1INCH-USD,2.384807509787389,7.0
101,NEAR-USD,UMA-USD,0.846113440044608,4.0
102,NEAR-USD,AAVE-USD,0.020601292008662418,9.0
103,ALGO-USD,XMR-USD,0.0006684867918552448,17.0
104,ALGO-USD,UMA-USD,0.069712130385748,4.0
105,ALGO-USD,BTC-USD,3.6535539803113778e-06,19.0
106,ALGO-USD,1INCH-USD,0.3889529905950002,8.0
107,ALGO-USD,ETH-USD,5.772249697495192e-05,13.0
108,SUSHI-USD,UMA-USD,0.4313273056077044,4.0
109,SUSHI-USD,BTC-USD,2.261935285413273e-05,17.0
110,SUSHI-USD,ETH-USD,0.0003572989710592859,21.0
111,ADA-USD,UMA-USD,0.1900638244589411,4.0
112,ADA-USD,DOT-USD,0.05874295991421043,9.0
113,ADA-USD,AAVE-USD,0.004625374899907792,11.0
114,ADA-USD,MATIC-USD,0.46610985647410125,20.0
115,ADA-USD,1INCH-USD,1.0608098013389737,12.0
116,ADA-USD,AVAX-USD,0.02523016045918005,24.0
117,UMA-USD,BTC-USD,5.103127807392799e-05,4.0
118,UMA-USD,CRV-USD,2.8110157479347486,4.0
119,UMA-USD,SOL-USD,0.0639200632565533,4.0
120,UMA-USD,LTC-USD,0.020351032458563387,4.0
121,UMA-USD,UNI-USD,0.28182941338428286,4.0
122,UMA-USD,MATIC-USD,2.387214188522747,4.0
123,UMA-USD,1INCH-USD,5.43268591333657,4.0
124,UMA-USD,AVAX-USD,0.12927880263089148,4.0
125,UMA-USD,ETH-USD,0.0008063143126490603,4.0
126,BTC-USD,LTC-USD,398.72743383481077,11.0
127,BTC-USD,1INCH-USD,106443.58754434885,6.0
128,CRV-USD,SOL-USD,0.02269933480436214,22.0
129,CRV-USD,AVAX-USD,0.045923120329765664,16.0
130,SOL-USD,UNI-USD,4.409815430358044,17.0
131,DOGE-USD,ETH-USD,3.805935423233801e-05,8.0
132,LTC-USD,ETH-USD,0.03959312572139079,15.0
133,MATIC-USD,AVAX-USD,0.05412618736720631,7.0
134,1INCH-USD,ETH-USD,0.00014838191412739596,7.0
